hgnc	uniprot_id
OR10Z1	Q8NGY1
OR11A1	Q9GZK7
OR12D2	P58182
OR12D3	Q9UGF7
OR13C3	Q8NGS6
OR13D1	Q8NGV5
OR14A16	Q8NHC5
OR1A1	Q9P1Q5
OR1A2	Q9Y585
OR1B1	Q8NGR6
OR1D2	P34982
OR1E1	P30953
OR1E2	P47887
OR1G1	P47890
OR1L6	Q8NGR2
OR1N2	Q8NGR9
OR1S1	Q8NH92
OR1S2	Q8NGQ3
OR2AK2	Q8NG84
OR2AT4	A6NND4
OR2C1	O95371
OR2C3	Q8N628
OR2D2	Q9H210
OR2D3	Q8NGH3
OR2F1	Q13607
OR2G2	Q8NGZ5
OR2G3	Q8NGZ4
OR2H1	Q9GZK4
OR2J2	O76002
OR2L3	Q8NG85
OR2T1	O43869
OR2T10	Q8NGZ9
OR2T12	Q8NG77
OR2T2	Q6IF00
OR2T27	Q8NH04
OR2T33	Q8NG76
OR2T4	Q8NH00
OR2T5	Q6IEZ7
OR2W1	Q9Y3N9
OR3A1	P47881
OR3A2	P47893
OR3A3	P47888
OR4C11	Q6IEV9
OR4C3	Q8NH37
OR4D1	Q15615
OR4D10	Q8NGI6
OR4D11	Q8NGI4
OR4D9	Q8NGE8
OR4K17	Q8NGC6
OR51B6	Q9H340
OR51D1	Q8NGF3
OR51F2	Q8NH61
OR51T1	Q8NGJ9
OR51V1	Q9H2C8
OR52A1	Q9UKL2
OR52A5	Q9H2C5
OR52B2	Q96RD2
OR52B6	Q8NGF0
OR52E8	Q6IFG1
OR52I2	Q8NH67
OR52K2	Q8NGK3
OR52L1	Q8NGH7
OR52M1	Q8NGK5
OR52R1	Q8NGF1
OR52W1	Q6IF63
OR56A1	Q8NGH5
OR56A4	Q8NGH8
OR56B1	Q8NGI3
OR5AU1	Q8NGC0
OR5C1	Q8NGR4
OR5I1	Q13606
OR5M1	Q8NGP8
OR5M10	Q6IEU7
OR5P2	Q8WZ92
OR5P3	Q8WZ94
OR5T1	Q8NG75
OR5T2	Q8NGG2
OR5T3	Q8NGG3
OR5V1	Q9UGF6
OR5W2	Q8NH69
OR6A2	O95222
OR6K6	Q8NGW6
OR6S1	Q8NH40
OR6V1	Q8N148
OR7A17	O14581
OR7C2	O60412
OR7D4	Q8NG98
OR7G2	Q8NG99
OR8A1	Q8NGG7
OR8B8	Q15620
OR8G5	Q8NG78
OR8U1	Q8NH10
OR9Q2	Q8NGE9
OTOP1	Q7RTM1
OTOP3	Q7RTS5
OTOR	Q9NRC9
OTP	Q5XKR4
OTUD6A	Q7L8S5
OTX2	P32243
PAGE3	Q5JUK9
PANX3	Q96QZ0
PASD1	Q8IV76
PAX1	P15863
PAX4	O43316
PBOV1	Q9GZY1
PDCL2	Q8N4E4
PDE6H	Q13956
PDILT	Q8N807
PDX1	P52945
PDYN	P01213
PGK2	P07205
PGLYRP2	Q96PD5
PGLYRP3	Q96LB9
PIWIL1	Q96J94
PIWIL3	Q7Z3Z3
PKD1L3	Q7Z443
PLA2G2E	Q9NZK7
PLA2G2F	Q9BZM2
PLA2G4E	Q3MJ16
OOSP2	Q86WS3
PNLIP	P16233
PNLIPRP1	P54315
PNLIPRP2	P54317
PNPLA5	Q7Z6Z6
POM121L12	Q8N7R1
POTED	Q86YR6
POTEG	Q6S5H5
POTEH	Q6S545
POU3F4	P49335
POU4F2	Q12837
POU4F3	Q15319
POU5F2	Q8N7G0
PPP3R2	Q96LZ3
PRAMEF1	O95521
PRAMEF19	Q5SWL8
PRAMEF2	O60811
PRAMEF4	O60810
PRAMEF7	Q5VXH5
PRB1	P04280
PRB4	P10163
PRDM13	Q9H4Q3
PRDM14	Q9GZV8
PRDM7	Q9NQW5
PRDM9	Q9NQV7
PRG3	Q9Y2Y8
PRLH	P81277
PRLHR	P49683
PROP1	O75360
PRSS33	Q8NF86
PRSS37	A4D1T9
PRSS38	A1L453
PRSS41	Q7RTY9
PRSS55	Q6UWB4
PRSS58	Q8IYP2
PSKH2	Q96QS6
PTF1A	Q7RTS3
RAX	Q9Y2V3
RAX2	Q96IS3
RBM46	Q8TBY0
RBMXL2	O75526
RBMY1A1	P0DJD3
RBMY1B	A6NDE4
RBMY1D	P0C7P1
RBMY1E	A6NEQ0
RBMY1F	Q15415
RBP3	P10745
RBPJL	Q9UBG7
RD3	Q7Z3Z2
RDH8	Q9NYR8
REG3A	Q06141
RESP18	Q5W5W9
RETNLB	Q9BQ08
RFPL3	O75679
RFPL4B	Q6ZWI9
RFX6	Q8HWS3
RHO	P08100
RHOXF2	Q9BQY4
RNASE10	Q5GAN6
RNASE11	Q8TAA1
RNASE12	Q5GAN4
RNASE13	Q5GAN3
RNASE8	Q8TDE3
RNASE9	P60153
RND2	P52198
RNF113B	Q8IZP6
RNF17	Q9BXT8
RP1	P56715
RP1L1	Q8IWN7
RPE65	Q16518
RPTN	Q6XPR3
RS1	O15537
RTP1	P59025
RTP2	Q5QGT7
RXFP2	Q8WXD0
RXFP3	Q9NSD7
S100A7A	Q86SG5
S100G	P29377
SAGE1	Q9NXZ1
SAMD7	Q7Z3H4
SCGB1D1	O95968
SCN10A	Q9Y5Y9
SCRT2	Q9NQ03
SDR9C7	Q8NEX9
SEC14L3	Q9UDX4
SEMG2	Q02383
SERPINA12	Q8IW75
SERPINA7	P05543
SERPINA9	Q86WD7
SERPINB12	Q96P63
SHCBP1L	Q9BZQ2
SHOX	O15266
SI	P14410
SIGLECL1	Q8N7X8
SIX6	O95475
SLC10A2	Q12908
SLC13A1	Q9BZW2
SLC17A2	O00624
SLC17A6	Q9P2U8
SLC18A3	Q16572
SLC22A12	Q96S37
SLC22A13	Q9Y226
SLC22A24	Q8N4F4
SLC22A25	Q6T423
SLC22A6	Q4U2R8
SLC22A8	Q8TCC7
