Q8N4L2 PIP4P2
Q8N7G0 POU5F2
Q8NEM1 ZNF680
Q8TEQ6 GEMIN5
Q8WUG5 SLC22A17
Q8WW34 TMEM239
Q8WX77 IGFBPL1
Q8WXX7 AUTS2
Q969K3 RNF34
Q96B96 TMEM159
Q96GI7 FAM89A
Q96L34 MARK4
Q96PN7 TRERF1
Q99490 AGAP2
Q99645 EPYC
Q99816 TSG101
Q9BQI6 SLF1
Q9BT76 UPK3B
Q9BY67 CADM1
Q9H0H0 INTS2
Q9H1J1 UPF3A
Q9H1X1 RSPH9
Q9HAI6 TASL
Q9HCL0 PCDH18
Q9NW64 RBM22
Q9P0R6 GSKIP
Q9P296 C5AR2
Q9UBJ2 ABCD2
Q9UGF5 OR14J1
Q9UIY3 RWDD2A
Q9UKP5 ADAMTS6
Q9ULV8 CBLC
Q9UP83 COG5
Q9UPM8 AP4E1
Q9Y3Y2 CHTOP
Q9Y421 FAM32A
Q9Y6W8 ICOS
Q9Y6X9 MORC2
A0A0B4J245 TRAV12-1
A0A0J9YXG5 TRBJ1-4
A0A0J9YXM7 TRBJ1-5
A0A5A2 TRBV5-8
A1A4F0 SLC66A1L
A6BM72 MEGF11
A6H8M9 CDHR4
A8MTB9 CEACAM18
A8MZ59 LEUTX
B3EWG3 FAM25A
O00222 GRM8
O00292 LEFTY2
O14772 FPGT
O14929 HAT1
O15403 SLC16A6
O15432 SLC31A2
O43491 EPB41L2
O43633 CHMP2A
O43852 CALU
O60507 TPST1
O75925 PIAS1
O94953 KDM4B
O95271 TNKS
P06729 CD2
P0C7H9 USP17L7
P0C875 FAM228B
P12277 CKB
P17542 TAL1
P21397 MAOA
P21741 MDK
P27469 G0S2
P36578 RPL4
P41145 OPRK1
P49767 VEGFC
P51511 MMP15
P51861 CDR1
P52655 GTF2A1
P53350 PLK1
P59768 GNG2
P60893 GPR85
Q13099 IFT88
Q13596 SNX1
Q14003 KCNC3
Q14584 ZNF266
Q15323 KRT31
Q15782 CHI3L2
Q1MSJ5 CSPP1
Q2KHT3 CLEC16A
Q4U2R6 MRPL51
Q5FWF6 ZNF789
Q5T440 IBA57
Q5T6X5 GPRC6A
Q5TID7 CCDC181
Q68CZ6 HAUS3
Q6ZMZ0 RNF19B
Q702N8 XIRP1
Q86XE5 HOGA1
Q8IUC4 RHPN2
Q8IVH4 MMAA
Q8IXI1 RHOT2
Q8IYT3 CCDC170
Q8N3I7 BBS5
Q8N5P1 ZC3H8
Q8NBB2 ST20-AS1
Q8NDX1 PSD4
Q8NGW1 OR6B3
Q8NHY3 GAS2L2
Q8TEY7 USP33
Q8WUX2 CHAC2
Q969G5 CAVIN3
Q96BD6 SPSB1
Q96BD8 SKA1
Q96FC7 PHYHIPL
Q96N35 LINC00052
Q9BU23 LMF2
Q9BY71 LRRC3
Q9BZ29 DOCK9
Q9H293 IL25
Q9H3M0 KCNF1
Q9H7N4 SCAF1
Q9HCG7 GBA2
Q9HCN2 TP53AIP1
Q9HCS2 CYP4F12
Q9HCU5 PREB
Q9NPB0 SAYSD1
Q9NSA0 SLC22A11
Q9NSG2 C1orf112
Q9NTK5 OLA1
Q9NXU5 ARL15
Q9NZ43 USE1
Q9P266 JCAD
Q9P2F9 ZNF319
Q9UBN4 TRPC4
Q9UII4 HERC5
Q9UKK9 NUDT5
Q9ULW6 NAP1L2
Q9Y3D0 CIAO2B
Q9Y6J0 CABIN1
W5XKT8 SPACA6
A0A1B0GVM5 ETDC
A0A1W2PRV1 TAF11L3
A0AVI2 FER1L5
A4D1B5 GSAP
A6NLU5 VSTM2B
O14817 TSPAN4
O15263 DEFB4A
O43749 OR1F1
O95399 UTS2
O95789 ZMYM6
P00167 CYB5A
P07196 NEFL
P0C7T5 ATXN1L
P0DTE4 UGT2A1
P11117 ACP2
P12268 IMPDH2
P20849 COL9A1
P22681 CBL
P27824 CANX
P53804 TTC3
P55199 ELL
P59045 NLRP11
P62263 RPS14
Q00G26 PLIN5
Q01415 GALK2
Q07954 LRP1
